NaCl_1hour	NaCl_24hours
-0.315554065	-0.241724143
-0.315872689	-0.241786033
-0.316536438	-0.243343266
-0.318388298	-0.244121257
-0.318672688	-0.244982039
-0.319367546	-0.245117057
-0.319825269	-0.245583644
-0.319946488	-0.245934943
-0.323118862	-0.246029509
-0.323736749	-0.246372632
-0.325520591	-0.24662942
-0.325541665	-0.246719745
-0.326312184	-0.24730176
-0.32662131	-0.247341719
-0.328083872	-0.247437551
-0.328760191	-0.247472251
-0.329505479	-0.24789413
-0.329645549	-0.248036414
-0.33313355	-0.248085743
-0.334762864	-0.248783861
-0.33503639	-0.248837506
-0.337364814	-0.248837506
-0.338443102	-0.248837506
-0.341369652	-0.248837506
-0.343352958	-0.249887093
-0.343352958	-0.249911281
-0.34442609	-0.250192568
-0.344603378	-0.250204363
-0.346536788	-0.250362947
-0.346629791	-0.25056683
-0.347250631	-0.250671063
-0.347929693	-0.250738635
-0.34866953	-0.251054808
-0.350294785	-0.251098191
-0.351711	-0.251286746
-0.353503963	-0.251879826
-0.354875003	-0.252071259
-0.356814241	-0.252598178
-0.357134322	-0.253366403
-0.360061449	-0.253879096
-0.362340704	-0.253976543
-0.362352956	-0.254632719
-0.362375546	-0.255099437
-0.362385924	-0.255474994
-0.363259257	-0.25615525
-0.366882839	-0.256349855
-0.368249872	-0.256567253
-0.36830941	-0.256694246
-0.369014598	-0.25719215
-0.371668687	-0.257314932
-0.374178137	-0.257373708
-0.374895487	-0.257564894
-0.375794376	-0.25758044
-0.37773263	-0.257823166
-0.378232738	-0.258775727
-0.37881822	-0.258791055
-0.380477474	-0.258957704
-0.382596188	-0.259088337
-0.382744861	-0.259104043
-0.382937601	-0.259144819
-0.384471014	-0.259264443
-0.386806457	-0.259824554
-0.388646364	-0.260169434
-0.389415045	-0.260261578
-0.390998625	-0.260277679
-0.391371221	-0.26036197
-0.39196707	-0.260420133
-0.392213627	-0.26093157
-0.392678857	-0.260952019
-0.396111935	-0.261317641
-0.396468054	-0.26217713
-0.398080389	-0.262201813
-0.398279929	-0.262210267
-0.398912082	-0.262670594
-0.400398701	-0.262677102
-0.401040254	-0.262818654
-0.404125182	-0.262915454
-0.404155437	-0.263264933
-0.405505987	-0.263638563
-0.406475882	-0.263702446
-0.407865697	-0.26371843
-0.413482402	-0.264518751
-0.414185621	-0.264946527
-0.414394949	-0.265056956
-0.414842184	-0.265208632
-0.414951917	-0.265309314
-0.421235916	-0.266021331
-0.421307746	-0.266703644
-0.421809493	-0.266707397
-0.425023054	-0.267626471
-0.425727169	-0.268116287
-0.426784076	-0.268278366
-0.426798742	-0.268418979
-0.426868688	-0.268548399
-0.429415935	-0.268794417
-0.432668189	-0.269271258
-0.432721384	-0.269566129
-0.432737959	-0.269853884
-0.432759655	-0.270814023
-0.432808884	-0.271489035
-0.432829898	-0.271534091
-0.433706113	-0.271711641
-0.434306932	-0.272387241
-0.434997121	-0.273238448
-0.435828276	-0.273724949
-0.436100391	-0.274109199
-0.437177275	-0.274739382
-0.439206281	-0.274975208
-0.442236754	-0.275072055
-0.442760493	-0.275277563
-0.443269159	-0.275544639
-0.443747615	-0.276158334
-0.443951736	-0.277084044
-0.446130658	-0.277141589
-0.446542793	-0.277150849
-0.449005081	-0.277377335
-0.449392419	-0.278154371
-0.455112731	-0.278187379
-0.457518483	-0.278214471
-0.457947691	-0.278217216
-0.459194683	-0.278230059
-0.45929916	-0.278376238
-0.459688057	-0.278567303
-0.462165873	-0.279075044
-0.463446276	-0.279582207
-0.463670405	-0.281238145
-0.464442695	-0.282549654
-0.464445524	-0.283762393
-0.465192619	-0.284065643
-0.466592705	-0.285072202
-0.466919331	-0.285563767
-0.468140358	-0.285632292
-0.473003035	-0.285960951
-0.475831973	-0.28597073
-0.477804705	-0.286492456
-0.477832948	-0.286720995
-0.478732564	-0.286784311
-0.47883979	-0.287245275
-0.480048911	-0.288517178
-0.481643348	-0.289659181
-0.481656087	-0.290151208
-0.48201328	-0.290373066
-0.483068635	-0.291522799
-0.484807048	-0.291986295
-0.48524429	-0.292209448
-0.487886801	-0.292335284
-0.488988004	-0.292338494
-0.489327966	-0.29281924
-0.490876205	-0.294483688
-0.491438065	-0.295882911
-0.491561991	-0.295948816
-0.491638677	-0.296103893
-0.491658414	-0.296849064
-0.491937685	-0.29767711
-0.49327296	-0.297686758
-0.493835523	-0.298278779
-0.49392927	-0.298618241
-0.494317427	-0.298623408
-0.494746767	-0.300537765
-0.495124374	-0.300547077
-0.496525475	-0.300570899
-0.49657328	-0.300600404
-0.49868549	-0.301757838
-0.49942874	-0.301853281
-0.499573877	-0.303189402
-0.499860207	-0.304050878
-0.499950156	-0.304651906
-0.502594634	-0.304854582
-0.50663414	-0.305489548
-0.506670976	-0.305892846
-0.507756116	-0.306373127
-0.509180517	-0.30651451
-0.510297468	-0.306786289
-0.510820455	-0.307039777
-0.512597906	-0.307072185
-0.513454877	-0.3076005
-0.514140836	-0.307676121
-0.515329152	-0.307679484
-0.516180747	-0.307792166
-0.516467319	-0.308836026
-0.519833555	-0.309346603
-0.524525844	-0.309444733
-0.528170532	-0.31090094
-0.528817104	-0.31090243
-0.528932158	-0.311001645
-0.529250169	-0.311818177
-0.531524019	-0.312069147
-0.531554146	-0.312084795
-0.532282184	-0.312499408
-0.532283246	-0.312607916
-0.532463778	-0.313105622
-0.533083314	-0.313421348
-0.534588789	-0.31364692
-0.53461425	-0.313694136
-0.536245232	-0.314165321
-0.538819475	-0.314995627
-0.538944289	-0.315001996
-0.539924551	-0.31611192
-0.541233986	-0.317070104
-0.541671191	-0.317463686
-0.542055569	-0.318166415
-0.545224391	-0.318287578
-0.545238813	-0.318365848
-0.546748434	-0.318510397
-0.548444162	-0.318660342
-0.548676492	-0.320196316
-0.550320367	-0.32027107
-0.550735604	-0.320373911
-0.550811282	-0.320445582
-0.55160449	-0.321544949
-0.55320345	-0.321553025
-0.555880942	-0.322183936
-0.557766418	-0.322222168
-0.557794312	-0.322287706
-0.56071758	-0.322659423
-0.562061284	-0.322818917
-0.563848695	-0.323290505
-0.563992222	-0.32347176
-0.564688155	-0.324221621
-0.566012137	-0.32450416
-0.566312635	-0.32509969
-0.567038086	-0.32566426
-0.567473794	-0.326079309
-0.569038278	-0.326354429
-0.56906727	-0.326467505
-0.569303275	-0.326579011
-0.569308289	-0.326623894
-0.570651025	-0.327206823
-0.573618809	-0.327559466
-0.574100936	-0.327682585
-0.577138596	-0.328001052
-0.577299871	-0.32833041
-0.580469496	-0.328456402
-0.581304099	-0.32853673
-0.583593611	-0.3287922
-0.58451839	-0.330286939
-0.584663217	-0.330356548
-0.584683206	-0.330960149
-0.584722032	-0.330981921
-0.584756945	-0.331181435
-0.584789069	-0.331544751
-0.584823439	-0.331672281
-0.584962501	-0.332516757
-0.587250752	-0.334228776
-0.590155367	-0.334787283
-0.590853263	-0.334884529
-0.592120239	-0.3356937
-0.592673423	-0.335920925
-0.592744749	-0.336135444
-0.595126491	-0.336480851
-0.595975336	-0.336969755
-0.595987499	-0.337142479
-0.597142862	-0.337669489
-0.599684834	-0.337766032
-0.600541338	-0.338134832
-0.604803283	-0.338150064
-0.604965976	-0.338196241
-0.606794663	-0.339911824
-0.60682465	-0.340542908
-0.607840206	-0.340674287
-0.609414225	-0.341154545
-0.610313111	-0.341213355
-0.611206903	-0.341228132
-0.611382057	-0.341230966
-0.612230865	-0.341374293
-0.612446898	-0.341845709
-0.613373309	-0.342514217
-0.613401818	-0.343198296
-0.616095094	-0.343555688
-0.620326913	-0.343798364
-0.622226848	-0.343908177
-0.622355367	-0.34436595
-0.624268114	-0.346383032
-0.624762882	-0.346397778
-0.626151081	-0.346416948
-0.628675714	-0.346731808
-0.629126264	-0.347147568
-0.629658361	-0.347186689
-0.632127977	-0.347635757
-0.635953262	-0.348537935
-0.637991635	-0.348702135
-0.638043488	-0.349542662
-0.638631564	-0.349703559
-0.639138516	-0.349956591
